labeled_object.ordinal,labeled_object.onset,labeled_object.offset,labeled_object.object,labeled_object.utterance_type,labeled_object.object_present,labeled_object.speaker,basic_level
171,2285235,2287471,horsey,d,n,GRM,horsey
41,465459,472093,house,q,n,GRM,house
43,477816,487522,jolly+jumper,q,n,GRM,jumper
169,2281421,2283453,ladybug,q,n,GRM,ladybug
170,2283454,2285234,ladybug,q,y,GRM,ladybug
172,2285235,2287471,ladybug,d,y,GRM,ladybug
25,287775,299722,lion,n,n,TOY,lion
30,337045,345307,lion,q,y,GRM,lion
33,366760,374436,lion,q,y,GRM,lion
34,374437,376293,lion,d,n,TOY,lion
35,376294,408689,lion,q,y,GRM,lion
36,408690,410897,lion,q,y,GRM,lion
37,410898,413697,lion,q,y,TOY,lion
42,472094,477815,lion,q,y,GRM,lion
27,301821,305921,monkey,n,n,TOY,monkey
40,459747,524268,monkey,d,n,TOY,monkey
178,2375156,2380037,monkeys,q,y,GRM,monkey
179,2380038,2383252,monkeys,n,y,GRM,monkey
19,227248,245180,toys,q,y,GRM,NA
20,245181,246923,toys,q,y,GRM,NA
24,279203,287774,animal+friends,i,n,TOY,NA
31,345308,363018,animal+friends,i,n,TOY,NA
38,413698,425819,animal+friends,d,n,TOY,NA
47,524141,525752,letters,s,y,TOY,NA
56,577086,582309,toy,d,y,GRM,NA
191,2781963,2780942,%com: personal information,NA,NA,NA,NA
62,690169,693598,nose,s,n,TOY,nose
93,825021,831290,nose,n,y,GRM,nose
101,866630,872981,nose,d,y,TOY,nose
102,872982,875273,nose,q,y,GRM,nose
104,875274,877363,nose,q,y,GRM,nose
57,644370,657576,one,n,y,TOY,one
65,707710,713116,one,n,y,TOY,one
123,1285810,1292567,owl,q,n,GRM,owl
124,1292568,1295061,owl,q,n,GRM,owl
125,1295062,1298170,owl,q,n,GRM,owl
126,1298171,1301056,owl,q,n,GRM,owl
127,1301057,1302768,owl,q,n,GRM,owl
128,1302769,1306200,owl,q,n,GRM,owl
129,1306201,1310668,owl,q,n,GRM,owl
130,1310669,1317949,owl,q,y,GRM,owl
131,1317950,1320023,owl,q,y,GRM,owl
186,2697168,2700915,owl,q,y,GRM,owl
187,2700916,2708635,owl,q,y,GRM,owl
188,2708636,2718261,owl,q,y,GRM,owl
189,2730367,2733683,owl,d,y,GRM,owl
190,2733684,2749195,owl,q,y,GRM,owl
84,800338,801824,piggies,d,y,GRM,piggy
85,801825,804857,piggy,d,y,GRM,piggy
86,804858,806885,piggy,d,y,GRM,piggy
87,806886,808388,piggy,d,y,GRM,piggy
89,809513,810714,piggy,d,y,GRM,piggy
90,810715,812603,piggy,d,y,GRM,piggy
78,777369,782414,puppy,d,n,TOY,puppy
79,782415,786355,puppy,q,n,GRM,puppy
132,1320024,1324441,puppy,q,y,GRM,puppy
15,219499,221062,snow,i,y,GRM,NA
16,221063,222200,snow,q,y,GRM,NA
17,222201,225852,snow,q,y,GRM,NA
111,901822,917899,socks,d,y,GRM,socks
45,515651,524269,soup,s,n,TOY,soup
46,515651,524269,spoon,s,n,TOY,spoon
133,1346368,1346833,sugar,n,n,GRM,sugar
59,677790,680616,three,n,y,TOY,three
67,715701,717122,three,n,y,TOY,three
69,718894,726908,three,n,y,TOY,three
94,831054,833687,three,n,y,TOY,three
100,859934,866629,three,n,y,TOY,three
81,793942,797944,toes,i,y,GRM,toes
82,797945,799206,toes,i,y,GRM,toes
83,799207,800337,toes,d,y,GRM,toes
112,917900,919538,toes,q,y,GRM,toes
113,919539,923132,toes,d,y,GRM,toes
114,923133,924824,toes,i,y,GRM,toes
115,924825,926572,toes,i,y,GRM,toes
116,926573,929302,toes,i,y,GRM,toes
117,929303,932532,toes,q,y,GRM,toes
182,2394178,2399229,tooth,q,n,GRM,tooth
13,192286,213629,trees,i,y,GRM,trees
18,225853,227247,trees,q,y,GRM,trees
183,2525726,2532948,truck,q,n,GRM,truck
0,124942,127873,tummy,q,y,GRM,tummy
58,666693,677790,two,n,y,TOY,two
63,690169,778201,two,s,y,TOY,two
66,713117,715700,two,n,y,TOY,two
70,726909,728331,two,n,y,TOY,two
