labeled_object.ordinal,labeled_object.onset,labeled_object.offset,labeled_object.object,labeled_object.utterance_type,labeled_object.object_present,labeled_object.speaker,basic_level,comments
127,2288538,2290765,mouse,r,y,FAT,mouse,
128,2290765,2292806,mouse,r,y,FAT,mouse,
129,2292807,2294374,house,r,y,FAT,house,
130,2294375,2299434,house,i,y,FAT,house,
131,2299435,2301000,house,i,y,FAT,house,
132,2309653,2312425,dolls,r,n,FAT,doll,
133,2312426,2315141,tea,r,n,FAT,tea,
134,2315142,2318740,cowboys,r,n,FAT,cowboy,
135,2318741,2320581,eskimos,r,n,FAT,eskimo,
136,2320582,2328453,bubble,r,n,FAT,bubble,
137,2328454,2331005,mouse,r,y,FAT,mouse,
138,2331006,2334492,cheese,r,y,FAT,cheese,
139,2334493,2337194,cheese,q,y,MFT,cheese,
140,2354506,2361883,angel,r,y,FAT,angel,
141,2361884,2365709,teeth,r,n,FAT,tooth,
142,2365710,2367644,paws,r,y,FAT,paw,
143,2374577,2380652,mouse,q,y,MOT,mouse,
144,2385368,2388956,gift,r,n,FAT,NA,
145,2388957,2394739,cheese,r,n,FAT,cheese,
146,2389466,2391353,Santy+Clause,r,y,FAT,Santy+Clause,
147,2394740,2396414,book,d,y,FAT,book,
148,2396415,2399640,book,n,y,MOT,book,
149,2399827,2402019,book,d,y,MOT,book,
150,2409844,2412524,bunny,d,y,MOT,bunny,
151,2412701,2414223,rabbit,d,y,MOT,rabbit,
152,2414481,2418001,Peter+Rabbit,d,y,MOT,Peter+Rabbit,
153,2418001,2422343,eye,d,y,FAT,eye,
154,2522015,2525144,hands,d,y,FAT,hand,
155,2537781,2539113,elephant,q,y,FAT,elephant,
156,2539114,2540986,robot,q,y,FAT,robot,
157,2540987,2545053,moose,q,y,FAT,moose,
158,2545054,2549730,monkey,q,y,FAT,monkey,
159,2595251,2598288,back,d,n,MOT,back,
160,2598289,2600922,back,d,n,MOT,back,
161,2635481,2639138,leg,d,y,MOT,leg,
162,2642343,2649164,bed,q,n,MOT,bed,
163,2649165,2649164,"%com: winding down for bed, verb and object",NA,NA,NA,NA,
164,2649165,2651790,books,d,n,MOT,book,
165,2651791,2654385,heater,d,n,MOT,NA,very general
166,2654386,2658100,humidifier,d,n,MOT,humidifier,
167,2658522,2660738,diaper,d,n,MOT,diaper,
168,2664217,2670012,boogers,d,n,MOT,NA,
169,2710793,2712776,toes,q,y,MOT,toe,
170,2729146,2731873,pterodactyls,d,n,MOT,pterodactyl,
171,2748913,2753221,story,q,n,MOT,story,
172,2753222,2753222,%com: story referring to book,NA,NA,NA,NA,
173,2778943,2784181,Harry+the+Dirty+Dog,r,y,MOT,Harry+the+Dirty+Dog,
174,2784182,2786106,dog,d,y,FAT,dog,
175,2786107,2787723,dog,d,y,FAT,dog,
176,2787724,2791397,dog,d,y,MOT,dog,
177,2790811,2802329,Harry,r,y,MOT,Harry,
178,2791398,2793415,dog,r,y,MOT,dog,
179,2793108,2795317,bath,r,n,MOT,bath,refers to bathtub
180,2795317,2798161,bath,d,n,FAT,bath,refers to bathtub
181,2798162,2802330,backyard,r,y,MOT,backyard,reading and object seen
182,2814580,2824088,story,q,y,MOT,story,refers to book
183,2821424,2797317,barrels,d,y,MOT,barrel,
184,2826229,2827672,wheel,d,y,MOT,wheel,
185,2827673,2831110,picture,q,y,MOT,NA,
186,2831111,2837083,paper,q,y,MOT,NA,
187,2861013,2863573,story,q,y,MOT,story,refers to book
188,2877946,2882133,bed,q,n,MOT,bed,
189,2894544,2895838,foot,q,y,MOT,foot,
190,2895839,2899240,foot,q,n,MOT,foot,
191,2899241,2901209,racoon,q,n,MOT,racoon,
192,2920248,2923193,jumper,d,n,MOT,jumper,
193,2932776,2936619,hands,i,y,MOT,hand,
194,2936620,2938082,sky,d,n,MOT,NA,
195,2938083,2939619,sky,d,y,MOT,NA,
196,2973749,2977469,bottle,d,y,MOT,bottle,
197,2977470,2981232,bottle,d,y,MOT,bottle,
198,3150038,3154284,hat,d,y,MOT,hat,
199,3204551,3205679,bed,d,n,MOT,bed,
200,3205680,3205679,%com: go to bed,NA,NA,NA,NA,
201,3205680,3209767,bed,d,n,MOT,bed,
